"planning_unit","number"
217,55
216,55
215,55
214,55
213,55
212,55
211,55
210,55
209,55
208,59
207,59
204,59
203,59
201,55
200,55
199,55
198,55
195,59
194,60
192,56
191,55
190,55
189,58
188,58
187,57
186,57
185,58
184,58
183,54
182,55
181,55
179,55
177,55
176,55
175,55
174,55
173,55
172,54
171,57
170,57
169,57
168,55
167,55
166,55
165,55
164,55
163,55
162,55
161,55
160,55
159,55
158,55
157,57
156,55
155,55
153,55
152,55
143,57
140,50
135,57
134,57
133,59
132,57
131,57
130,57
129,57
128,57
127,57
126,57
124,50
123,50
121,50
120,50
119,50
118,50
117,57
116,57
115,57
114,57
113,57
112,57
109,57
108,57
107,57
106,57
105,57
104,57
103,50
102,50
101,50
100,50
99,50
98,50
97,50
96,50
91,71
89,65
86,50
85,50
84,50
83,50
82,50
81,50
78,50
76,50
75,50
74,50
71,55
70,55
69,55
68,55
67,50
66,50
65,50
64,50
63,50
62,55
61,55
60,50
59,50
58,50
57,50
56,50
55,50
54,50
53,57
52,57
51,57
50,57
49,50
48,50
47,50
46,50
45,50
44,50
43,57
42,57
41,57
40,57
39,57
38,57
37,50
36,50
35,50
34,50
33,57
32,57
31,57
30,57
29,57
28,54
26,50
25,50
24,50
23,50
22,56
21,56
20,56
19,57
18,57
17,57
16,57
14,51
13,58
12,58
11,58
10,57
9,57
8,58
7,58
6,58
5,58
4,58
3,58
2,70
1,71
